input,defSolution,defExpanded,defFrontier,defTime,mhdSolution,mhdExpanded,mhdFrontier,mhdTime,sameSolution,betterSolution
"(5, 3, 1, 4, 6, 2, 0)","['ROW2', 'ROW2', 'ROW1', 'ROW2', 'ROW2', 'ROW1', 'ROW1', 'ROW1']",59,50,0.0008764266967773438,"['ROW2', 'ROW2', 'ROW1', 'ROW2', 'ROW2', 'ROW1', 'ROW1', 'ROW1']",70,54,0.0012319087982177734,True,N/A
"(2, 5, 4, 1, 6, 3, 0)","['ROW2', 'ROW1', 'ROW1', 'ROW2', 'ROW2', 'ROW2', 'ROW1', 'ROW2', 'ROW1', 'ROW2', 'ROW2', 'ROW2', 'ROW2']",180,141,0.004781007766723633,"['ROW2', 'ROW1', 'ROW1', 'ROW2', 'ROW2', 'ROW2', 'ROW1', 'ROW2', 'ROW1', 'ROW2', 'ROW2', 'ROW2', 'ROW2']",30,25,0.00042057037353515625,True,N/A
"(1, 3, 4, 6, 5, 2, 0)","['ROW2', 'ROW1', 'ROW1', 'ROW2', 'ROW1', 'ROW2', 'ROW2', 'ROW1', 'ROW1', 'ROW2', 'ROW1']",277,198,0.01531529426574707,"['ROW2', 'ROW2', 'ROW1', 'ROW1', 'ROW1', 'ROW2', 'ROW2', 'ROW1', 'ROW2', 'ROW2', 'ROW1', 'ROW2', 'ROW1', 'ROW2', 'ROW2', 'ROW2', 'ROW2']",146,93,0.0033059120178222656,False,Default
"(6, 5, 1, 3, 2, 4, 0)","['ROW1', 'ROW2', 'ROW2', 'ROW1', 'ROW2', 'ROW2', 'ROW1', 'ROW2', 'ROW2', 'ROW1']",137,109,0.0030481815338134766,"['ROW2', 'ROW1', 'ROW1', 'ROW2', 'ROW1', 'ROW1', 'ROW2', 'ROW1', 'ROW1', 'ROW2']",80,62,0.001565694808959961,False,Default
"(6, 4, 3, 5, 1, 2, 0)","['ROW1', 'ROW1', 'ROW1', 'ROW2', 'ROW2', 'ROW1', 'ROW2', 'ROW1', 'ROW1', 'ROW2']",147,108,0.003262758255004883,"['ROW2', 'ROW2', 'ROW2', 'ROW1', 'ROW2', 'ROW1', 'ROW2', 'ROW1', 'ROW1', 'ROW1', 'ROW2', 'ROW2', 'ROW2', 'ROW2']",38,31,0.0005767345428466797,False,Default
"(6, 3, 2, 5, 4, 1, 0)","['ROW1', 'ROW2', 'ROW1', 'ROW1', 'ROW2', 'ROW2', 'ROW1', 'ROW1', 'ROW1', 'ROW1', 'ROW2', 'ROW2', 'ROW1']",454,300,0.02317023277282715,"['ROW1', 'ROW2', 'ROW1', 'ROW1', 'ROW2', 'ROW2', 'ROW1', 'ROW1', 'ROW1', 'ROW1', 'ROW2', 'ROW2', 'ROW1']",341,197,0.013123035430908203,True,N/A
"(3, 5, 2, 1, 6, 4, 0)","['ROW1', 'ROW1', 'ROW1', 'ROW2', 'ROW1', 'ROW2', 'ROW2', 'ROW1', 'ROW1', 'ROW1', 'ROW1']",104,88,0.002058267593383789,"['ROW1', 'ROW1', 'ROW2', 'ROW1', 'ROW2', 'ROW2', 'ROW2', 'ROW1', 'ROW1', 'ROW1', 'ROW1']",64,51,0.0010745525360107422,False,Default
"(1, 4, 2, 5, 6, 3, 0)","['ROW2', 'ROW1', 'ROW1', 'ROW2', 'ROW1', 'ROW1', 'ROW1', 'ROW2', 'ROW2', 'ROW1']",107,85,0.0020558834075927734,"['ROW1', 'ROW1', 'ROW1', 'ROW2', 'ROW2', 'ROW1', 'ROW1', 'ROW1', 'ROW2', 'ROW1', 'ROW1', 'ROW2', 'ROW1', 'ROW1', 'ROW1', 'ROW1']",128,91,0.002811908721923828,False,Default
"(2, 4, 6, 1, 3, 5, 0)","['ROW1', 'ROW2', 'ROW1', 'ROW2', 'ROW2', 'ROW1', 'ROW2', 'ROW2', 'ROW1', 'ROW1', 'ROW2', 'ROW1']",456,308,0.02422618865966797,"['ROW2', 'ROW1', 'ROW1', 'ROW2', 'ROW2', 'ROW2', 'ROW2', 'ROW2', 'ROW1', 'ROW2', 'ROW2', 'ROW1', 'ROW2', 'ROW2', 'ROW2', 'ROW2']",118,86,0.0023794174194335938,False,Default
"(3, 1, 2, 4, 6, 5, 0)","['ROW1', 'ROW2', 'ROW2', 'ROW1', 'ROW2', 'ROW2', 'ROW2', 'ROW1', 'ROW1', 'ROW1', 'ROW2', 'ROW1', 'ROW1']",336,239,0.013918399810791016,"['ROW1', 'ROW2', 'ROW2', 'ROW1', 'ROW2', 'ROW2', 'ROW2', 'ROW1', 'ROW1', 'ROW1', 'ROW2', 'ROW1', 'ROW1']",51,36,0.0007708072662353516,True,N/A
