input,mhdSolution,mhdExpanded,mhdFrontier,mhdTime
"(2, 1, 7, 9, 5, 6, 3, 8, 4, 0)","['ROW1', 'ROW1', 'ROW3', 'ROW1', 'ROW1', 'ROW3', 'ROW3', 'ROW3', 'ROW1', 'ROW1', 'ROW1', 'ROW1', 'ROW3', 'ROW2', 'ROW3', 'ROW2', 'ROW2', 'ROW2', 'ROW2']",573,949,0.12543034553527832
"(2, 6, 9, 1, 8, 3, 7, 5, 4, 0)","['ROW2', 'ROW1', 'ROW1', 'ROW3', 'ROW3', 'ROW2', 'ROW1', 'ROW2', 'ROW3', 'ROW2', 'ROW1', 'ROW2', 'ROW2', 'ROW2', 'ROW3', 'ROW2']",429,724,0.07273483276367188
"(2, 9, 1, 6, 7, 8, 5, 4, 3, 0)","['ROW3', 'ROW2', 'ROW2', 'ROW3', 'ROW1', 'ROW1', 'ROW3', 'ROW2', 'ROW3', 'ROW1', 'ROW3', 'ROW1', 'ROW2', 'ROW2', 'ROW2', 'ROW2']",141,254,0.009517669677734375
"(1, 8, 5, 3, 2, 6, 4, 7, 9, 0)","['ROW2', 'ROW1', 'ROW1', 'ROW3', 'ROW2', 'ROW1', 'ROW2', 'ROW1', 'ROW2', 'ROW2', 'ROW1', 'ROW3', 'ROW3', 'ROW1', 'ROW3', 'ROW3', 'ROW3', 'ROW1', 'ROW1', 'ROW1', 'ROW3', 'ROW1', 'ROW1']",1963,3108,1.4484121799468994
"(6, 1, 8, 3, 2, 7, 9, 4, 5, 0)","['ROW1', 'ROW2', 'ROW3', 'ROW3', 'ROW2', 'ROW1', 'ROW2', 'ROW3', 'ROW2', 'ROW2', 'ROW2', 'ROW3', 'ROW1', 'ROW1', 'ROW3', 'ROW3', 'ROW3', 'ROW1', 'ROW1', 'ROW1', 'ROW1']",134,242,0.008936643600463867
"(1, 7, 6, 5, 3, 2, 4, 9, 8, 0)","['ROW3', 'ROW2', 'ROW2', 'ROW3', 'ROW2', 'ROW1', 'ROW1', 'ROW3', 'ROW1', 'ROW2', 'ROW1', 'ROW1', 'ROW3', 'ROW3', 'ROW3', 'ROW1', 'ROW1', 'ROW3', 'ROW1', 'ROW1', 'ROW1', 'ROW1']",1112,1820,0.49164795875549316
"(8, 1, 6, 9, 2, 5, 3, 4, 7, 0)","['ROW1', 'ROW3', 'ROW2', 'ROW3', 'ROW2', 'ROW1', 'ROW2', 'ROW2', 'ROW2', 'ROW1', 'ROW1', 'ROW2', 'ROW1', 'ROW1', 'ROW1', 'ROW1']",55,101,0.002077817916870117
"(8, 4, 6, 9, 7, 1, 3, 2, 5, 0)","['ROW1', 'ROW3', 'ROW2', 'ROW3', 'ROW1', 'ROW1', 'ROW2', 'ROW3', 'ROW2', 'ROW1', 'ROW3', 'ROW3', 'ROW3', 'ROW3', 'ROW1', 'ROW1', 'ROW1', 'ROW1', 'ROW2', 'ROW1', 'ROW1', 'ROW2', 'ROW1', 'ROW1', 'ROW1', 'ROW1']",669,1117,0.18819022178649902
"(2, 7, 1, 8, 3, 9, 6, 5, 4, 0)","['ROW2', 'ROW3', 'ROW2', 'ROW1', 'ROW1', 'ROW3', 'ROW3', 'ROW1', 'ROW3', 'ROW2', 'ROW1', 'ROW3', 'ROW3', 'ROW3', 'ROW2', 'ROW3', 'ROW2', 'ROW2']",900,1515,0.35893964767456055
"(9, 4, 3, 2, 8, 6, 1, 7, 5, 0)","['ROW3', 'ROW1', 'ROW3', 'ROW1', 'ROW2', 'ROW1', 'ROW1', 'ROW3', 'ROW3', 'ROW2', 'ROW3', 'ROW3', 'ROW1', 'ROW2', 'ROW2']",273,465,0.03316521644592285
"(1, 3, 2, 8, 9, 7, 6, 4, 5, 0)","['ROW2', 'ROW3', 'ROW3', 'ROW2', 'ROW2', 'ROW3', 'ROW2', 'ROW2', 'ROW3', 'ROW3', 'ROW2', 'ROW3', 'ROW1', 'ROW1', 'ROW3', 'ROW1', 'ROW1', 'ROW1', 'ROW3', 'ROW3', 'ROW3', 'ROW1', 'ROW3', 'ROW3']",721,1169,0.21561551094055176
"(5, 6, 7, 3, 4, 1, 8, 2, 9, 0)","['ROW2', 'ROW1', 'ROW1', 'ROW2', 'ROW1', 'ROW3', 'ROW3', 'ROW1', 'ROW3', 'ROW3', 'ROW1', 'ROW1', 'ROW2', 'ROW2', 'ROW2', 'ROW1', 'ROW2', 'ROW2', 'ROW2', 'ROW1', 'ROW1', 'ROW1', 'ROW1']",1586,2625,0.9821474552154541
"(4, 1, 2, 3, 7, 8, 6, 9, 5, 0)","['ROW1', 'ROW2', 'ROW2', 'ROW3', 'ROW2', 'ROW3', 'ROW2', 'ROW2', 'ROW3', 'ROW2', 'ROW2', 'ROW3', 'ROW3', 'ROW3', 'ROW1', 'ROW3', 'ROW3']",34,65,0.0010635852813720703
"(4, 9, 6, 5, 8, 2, 3, 1, 7, 0)","['ROW1', 'ROW2', 'ROW2', 'ROW3', 'ROW1', 'ROW3', 'ROW1', 'ROW3', 'ROW2', 'ROW1', 'ROW2', 'ROW1', 'ROW1']",46,88,0.00160980224609375
"(7, 5, 8, 3, 6, 4, 9, 1, 2, 0)","['ROW1', 'ROW3', 'ROW3', 'ROW1', 'ROW1', 'ROW2', 'ROW3', 'ROW1', 'ROW2', 'ROW2', 'ROW3', 'ROW3', 'ROW1', 'ROW3', 'ROW3', 'ROW1']",217,367,0.020052194595336914
"(9, 2, 3, 6, 1, 4, 5, 7, 8, 0)","['ROW3', 'ROW2', 'ROW2', 'ROW1', 'ROW3', 'ROW1', 'ROW1', 'ROW1', 'ROW1']",12,23,0.00028228759765625
"(9, 5, 3, 2, 6, 8, 7, 4, 1, 0)","['ROW2', 'ROW3', 'ROW3', 'ROW2', 'ROW3', 'ROW1', 'ROW1', 'ROW2', 'ROW2', 'ROW3', 'ROW3', 'ROW1', 'ROW1', 'ROW1', 'ROW3', 'ROW1', 'ROW1', 'ROW1', 'ROW1']",206,373,0.02109694480895996
"(4, 2, 1, 6, 9, 5, 3, 8, 7, 0)","['ROW2', 'ROW3', 'ROW2', 'ROW2', 'ROW3', 'ROW2', 'ROW1', 'ROW2', 'ROW2', 'ROW3', 'ROW3', 'ROW2', 'ROW3', 'ROW1', 'ROW1', 'ROW1', 'ROW3', 'ROW1', 'ROW1', 'ROW3', 'ROW1', 'ROW1', 'ROW1', 'ROW1']",10790,15272,42.03971266746521
"(2, 6, 4, 8, 7, 3, 9, 1, 5, 0)","['ROW2', 'ROW3', 'ROW3', 'ROW1', 'ROW1', 'ROW2', 'ROW1', 'ROW2', 'ROW3', 'ROW2', 'ROW1', 'ROW2', 'ROW2', 'ROW3', 'ROW3', 'ROW3', 'ROW3']",41,76,0.0013265609741210938
"(3, 8, 9, 6, 2, 1, 4, 5, 7, 0)","['ROW3', 'ROW2', 'ROW2', 'ROW1', 'ROW1', 'ROW3', 'ROW2', 'ROW2', 'ROW2', 'ROW2', 'ROW3', 'ROW2', 'ROW2', 'ROW1', 'ROW3', 'ROW1', 'ROW1', 'ROW1', 'ROW1']",584,960,0.13384366035461426
"(3, 6, 5, 4, 2, 8, 7, 1, 9, 0)","['ROW1', 'ROW2', 'ROW2', 'ROW1', 'ROW1', 'ROW3', 'ROW3', 'ROW1', 'ROW2', 'ROW3', 'ROW1', 'ROW2', 'ROW1', 'ROW1', 'ROW3', 'ROW2', 'ROW1', 'ROW1', 'ROW3', 'ROW1', 'ROW1', 'ROW1', 'ROW1']",1715,2813,1.0984535217285156
"(5, 8, 2, 7, 6, 3, 1, 9, 4, 0)","['ROW2', 'ROW3', 'ROW3', 'ROW3', 'ROW2', 'ROW1', 'ROW2', 'ROW2', 'ROW1', 'ROW3', 'ROW3', 'ROW3', 'ROW1', 'ROW3', 'ROW3', 'ROW3', 'ROW1', 'ROW1', 'ROW1', 'ROW1']",1308,2131,0.6452372074127197
"(5, 6, 7, 2, 3, 9, 4, 1, 8, 0)","['ROW3', 'ROW2', 'ROW1', 'ROW2', 'ROW1', 'ROW3', 'ROW2', 'ROW3', 'ROW1', 'ROW3', 'ROW3', 'ROW2', 'ROW3', 'ROW3', 'ROW1', 'ROW1', 'ROW1', 'ROW1']",146,260,0.009873390197753906
"(8, 7, 3, 4, 9, 2, 5, 6, 1, 0)","['ROW1', 'ROW3', 'ROW2', 'ROW3', 'ROW2', 'ROW3', 'ROW1', 'ROW1', 'ROW3', 'ROW3', 'ROW2', 'ROW1', 'ROW1', 'ROW1', 'ROW3', 'ROW3', 'ROW2', 'ROW2', 'ROW2', 'ROW2']",345,593,0.04855775833129883
"(2, 1, 5, 4, 7, 3, 6, 8, 9, 0)","['ROW1', 'ROW1', 'ROW2', 'ROW2', 'ROW2', 'ROW1', 'ROW1', 'ROW2', 'ROW1', 'ROW1', 'ROW2', 'ROW1', 'ROW3', 'ROW2', 'ROW3', 'ROW3', 'ROW3', 'ROW3']",258,449,0.02834033966064453
"(8, 2, 7, 9, 6, 3, 1, 5, 4, 0)","['ROW2', 'ROW3', 'ROW1', 'ROW1', 'ROW1', 'ROW3', 'ROW2', 'ROW2', 'ROW2', 'ROW3', 'ROW1', 'ROW1', 'ROW3', 'ROW3', 'ROW3', 'ROW1', 'ROW1', 'ROW1', 'ROW2', 'ROW1', 'ROW2', 'ROW2', 'ROW2', 'ROW2']",729,1247,0.2098374366760254
"(2, 6, 5, 3, 4, 7, 9, 8, 1, 0)","['ROW1', 'ROW1', 'ROW3', 'ROW2', 'ROW1', 'ROW2', 'ROW2', 'ROW3', 'ROW3', 'ROW3', 'ROW2', 'ROW3', 'ROW1', 'ROW2', 'ROW2', 'ROW2', 'ROW1', 'ROW1', 'ROW1', 'ROW1']",949,1592,0.3483607769012451
"(3, 8, 6, 7, 1, 5, 9, 4, 2, 0)","['ROW2', 'ROW3', 'ROW1', 'ROW1', 'ROW3', 'ROW1', 'ROW2', 'ROW3', 'ROW1', 'ROW1', 'ROW1', 'ROW2', 'ROW1', 'ROW1', 'ROW3', 'ROW1', 'ROW1', 'ROW2', 'ROW2', 'ROW2', 'ROW2']",2259,3571,1.8475093841552734
"(4, 8, 3, 9, 1, 5, 6, 7, 2, 0)","['ROW3', 'ROW2', 'ROW2', 'ROW1', 'ROW2', 'ROW2', 'ROW3', 'ROW2', 'ROW3', 'ROW3', 'ROW1', 'ROW3', 'ROW2', 'ROW1', 'ROW1', 'ROW3', 'ROW3']",2398,3939,2.144620656967163
"(8, 7, 4, 3, 2, 9, 5, 1, 6, 0)","['ROW1', 'ROW3', 'ROW2', 'ROW1', 'ROW3', 'ROW1', 'ROW2', 'ROW1', 'ROW2', 'ROW3', 'ROW1', 'ROW1', 'ROW2', 'ROW2', 'ROW2', 'ROW3', 'ROW2', 'ROW3', 'ROW3', 'ROW3', 'ROW3']",137,249,0.009584188461303711
"(5, 1, 3, 9, 4, 6, 7, 2, 8, 0)","['ROW2', 'ROW3', 'ROW3', 'ROW2', 'ROW3', 'ROW3', 'ROW2', 'ROW2', 'ROW3', 'ROW1', 'ROW2', 'ROW1', 'ROW1', 'ROW2', 'ROW1', 'ROW3', 'ROW1', 'ROW2', 'ROW2', 'ROW2', 'ROW1', 'ROW2', 'ROW2']",3057,4565,3.2554922103881836
"(1, 5, 9, 3, 2, 4, 8, 7, 6, 0)","['ROW3', 'ROW3', 'ROW2', 'ROW1', 'ROW1', 'ROW2', 'ROW2', 'ROW1', 'ROW3', 'ROW3', 'ROW2', 'ROW1', 'ROW1', 'ROW3', 'ROW3', 'ROW3', 'ROW3']",103,191,0.0055315494537353516
"(9, 1, 6, 3, 5, 8, 4, 7, 2, 0)","['ROW1', 'ROW3', 'ROW2', 'ROW3', 'ROW3', 'ROW1', 'ROW2', 'ROW2', 'ROW2', 'ROW3', 'ROW1', 'ROW1', 'ROW2', 'ROW1', 'ROW1', 'ROW1', 'ROW3', 'ROW1']",951,1621,0.3565213680267334
"(5, 6, 4, 8, 2, 1, 7, 3, 9, 0)","['ROW1', 'ROW2', 'ROW2', 'ROW1', 'ROW1', 'ROW1', 'ROW1', 'ROW2', 'ROW1', 'ROW2', 'ROW2', 'ROW1', 'ROW1', 'ROW1', 'ROW3', 'ROW3', 'ROW2', 'ROW3', 'ROW3', 'ROW2', 'ROW2', 'ROW2', 'ROW1', 'ROW2', 'ROW2']",972,1641,0.3636140823364258
