input,defsol,expandeddef,frontierdef,deftime,mhdsol,expandedmhd,frontiermhd,mhdtime,samesol
"(4, 1, 2, 3, 5, 6, 0)","['ROW1', 'ROW2', 'ROW1', 'ROW2', 'ROW2', 'ROW2', 'ROW2']",10,9,0.00032210350036621094,"['ROW1', 'ROW2', 'ROW1', 'ROW2', 'ROW2', 'ROW2', 'ROW2']",14,13,0.0005249977111816406,True
"(2, 4, 1, 6, 3, 5, 0)","['ROW2', 'ROW2', 'ROW1', 'ROW1', 'ROW1', 'ROW2', 'ROW1', 'ROW2', 'ROW2', 'ROW2', 'ROW2']",68,58,0.001100778579711914,"['ROW2', 'ROW2', 'ROW1', 'ROW1', 'ROW1', 'ROW2', 'ROW1', 'ROW2', 'ROW2', 'ROW2', 'ROW2']",58,47,0.0010828971862792969,True
"(4, 2, 1, 3, 6, 5, 0)","['ROW2', 'ROW2', 'ROW1', 'ROW2', 'ROW1', 'ROW2', 'ROW2', 'ROW1', 'ROW1', 'ROW2', 'ROW1', 'ROW1', 'ROW2', 'ROW1', 'ROW1', 'ROW1', 'ROW1']",1188,447,0.12414002418518066,"['ROW2', 'ROW2', 'ROW2', 'ROW1', 'ROW2', 'ROW2', 'ROW2', 'ROW1', 'ROW1', 'ROW2', 'ROW1', 'ROW1', 'ROW2', 'ROW1', 'ROW1', 'ROW1', 'ROW1']",475,284,0.02574944496154785,False
"(5, 3, 1, 2, 4, 6, 0)","['ROW2', 'ROW2', 'ROW2', 'ROW2', 'ROW1', 'ROW2', 'ROW2', 'ROW1', 'ROW1', 'ROW1']",168,129,0.004299163818359375,"['ROW1', 'ROW2', 'ROW2', 'ROW2', 'ROW1', 'ROW2', 'ROW2', 'ROW2', 'ROW1', 'ROW1', 'ROW1', 'ROW2', 'ROW1', 'ROW1', 'ROW1', 'ROW1']",318,216,0.013705968856811523,False
"(2, 1, 6, 5, 3, 4, 0)","['ROW2', 'ROW2', 'ROW1', 'ROW1', 'ROW2', 'ROW1', 'ROW1', 'ROW2', 'ROW1', 'ROW1', 'ROW1', 'ROW1']",166,132,0.004176616668701172,"['ROW2', 'ROW2', 'ROW1', 'ROW1', 'ROW2', 'ROW1', 'ROW1', 'ROW2', 'ROW1', 'ROW1', 'ROW1', 'ROW1']",81,62,0.0017352104187011719,True
"(1, 6, 4, 5, 2, 3, 0)","['ROW2', 'ROW1', 'ROW1', 'ROW2', 'ROW1', 'ROW2', 'ROW1', 'ROW1', 'ROW2', 'ROW1', 'ROW2', 'ROW2']",187,144,0.005215644836425781,"['ROW2', 'ROW1', 'ROW1', 'ROW2', 'ROW1', 'ROW2', 'ROW1', 'ROW1', 'ROW2', 'ROW1', 'ROW2', 'ROW2']",99,83,0.002309083938598633,True
"(4, 2, 1, 6, 3, 5, 0)","['ROW1', 'ROW1', 'ROW1', 'ROW2', 'ROW1', 'ROW2', 'ROW1', 'ROW1', 'ROW2', 'ROW2', 'ROW2', 'ROW2', 'ROW1', 'ROW2', 'ROW1', 'ROW1']",1222,447,0.1309983730316162,"['ROW2', 'ROW2', 'ROW2', 'ROW2', 'ROW1', 'ROW2', 'ROW2', 'ROW1', 'ROW1', 'ROW1', 'ROW2', 'ROW1', 'ROW1', 'ROW2', 'ROW1', 'ROW1', 'ROW1', 'ROW1']",601,344,0.03890681266784668,False
"(1, 3, 4, 6, 2, 5, 0)","['ROW2', 'ROW2', 'ROW1', 'ROW1', 'ROW2', 'ROW1', 'ROW1', 'ROW2', 'ROW2', 'ROW2', 'ROW2', 'ROW2']",127,96,0.002656698226928711,"['ROW1', 'ROW1', 'ROW1', 'ROW2', 'ROW2', 'ROW1', 'ROW1', 'ROW2', 'ROW2', 'ROW1', 'ROW2', 'ROW2']",54,39,0.0009715557098388672,False
"(3, 5, 1, 6, 4, 2, 0)","['ROW1', 'ROW2', 'ROW2', 'ROW2', 'ROW1', 'ROW1', 'ROW2', 'ROW1', 'ROW2', 'ROW2']",65,57,0.0010221004486083984,"['ROW1', 'ROW2', 'ROW2', 'ROW2', 'ROW1', 'ROW1', 'ROW2', 'ROW1', 'ROW2', 'ROW2']",64,55,0.00130462646484375,True
"(4, 5, 6, 3, 2, 1, 0)","['ROW2', 'ROW2', 'ROW2', 'ROW1', 'ROW1', 'ROW1', 'ROW2', 'ROW2', 'ROW1', 'ROW1', 'ROW2', 'ROW1', 'ROW2', 'ROW1', 'ROW2', 'ROW2']",1146,438,0.12595653533935547,"['ROW2', 'ROW1', 'ROW2', 'ROW1', 'ROW2', 'ROW1', 'ROW1', 'ROW1', 'ROW1', 'ROW1', 'ROW2', 'ROW1', 'ROW1', 'ROW2', 'ROW1', 'ROW1']",335,240,0.016385316848754883,False
